"id","name","lon","lat","type"
8571134,"Steg VS, Bäckerei",7.74513,46.31709,"Bus"
8580441,"Steg VS, Eggi",7.74671,46.31785,"Bus"
8571129,"Steg VS, Feldegg",7.75081,46.31417,"Bus"
8579557,"Steg VS, Hallenbad",7.75407,46.31533,"Bus"
8571132,"Steg VS, Industriezone",7.75353,46.31155,"Bus"
8579556,"Steg VS, Kirche",7.74688,46.3151,"Bus"
8501713,"Steg VS, Mittal",7.75635,46.34733,"Bus"
8571131,"Steg VS, Sand",7.74763,46.31148,"Bus"
8571130,"Steg VS, Zanellahaus",7.7453,46.31042,"Bus"
8587836,"Steg VS, Zentrum Metropol",7.74501,46.31479,"Bus"
8587950,"Steg im Tösstal, Bahnhof",8.93261,47.35388,"Bus"
8508145,"Steg im Tösstal, Chlital",8.95256,47.34911,"Bus"
8506668,"Stehrenberg, Dorf",9.089,47.5236,"Bus"
8506376,"Steigbach",9.40491,47.37702,"Zug"
8510130,"Steigbach, Bahnhof",9.40523,47.37652,"Bus"
8530559,"Stein (Obersaxen)",9.12546,46.72628,"Sesselbahn"
8583811,"Stein AG, Bahnhofstrasse",7.95478,47.54037,"Bus"
8572421,"Stein AG, Coop",7.95152,47.54619,"Bus"
8572420,"Stein AG, Novartis",7.9577,47.55102,"Bus"
8572422,"Stein AG, Zürcherstrasse",7.95548,47.54132,"Bus"
8506775,"Stein AR, Dorf",9.34367,47.37251,"Bus"
8506603,"Stein AR, Hagtobel",9.33338,47.36953,"Bus"
8506606,"Stein AR, Rose",9.34547,47.37993,"Bus"
8506605,"Stein AR, Rämsen-Störgel",9.34382,47.38716,"Bus"
8574213,"Stein AR, Schachen",9.34195,47.37021,"Bus"
8574021,"Stein SG, Breitenau",9.22171,47.20468,"Bus"
8506776,"Stein SG, Dorf",9.22662,47.20035,"Bus"
8574022,"Stein SG, Mühlewies",9.23045,47.19328,"Bus"
8506139,"Stein am Rhein",8.85501,47.65611,"Zug"
8506153,"Stein am Rhein (Schifflände)",8.85664,47.65991,"Schiff"
8573327,"Stein am Rhein, Bahnhof",8.85571,47.65586,"Bus"
8592237,"Stein am Rhein, Grenzstein",8.87511,47.66038,"Bus"
8578397,"Stein am Rhein, Rathaus",8.85992,47.65906,"Bus"
8592238,"Stein am Rhein, Schule",8.86133,47.65943,"Bus"
8578399,"Stein am Rhein, Strandbad",8.85021,47.66419,"Bus"
8578398,"Stein am Rhein, Untertor",8.85722,47.66147,"Bus"
