id,name,name_long,community,state,country,country_code,lon,lat,types,types_list
8572965,"Schenkon, Zellfeld",,Schenkon,LU,CH,85,8.13040365487,47.17882008642,~Bus~,['bus']
8501203,Clarens,,Clarens,VD,CH,85,6.89577993661,46.44273829902,~Zug~,['train']
8503235,Leuggelbach,,Leuggelbach,GL,CH,85,9.04694433718,46.9757428625,~Zug~,['train']
8501403,St-Maurice,,St-Maurice,VS,CH,85,7.00204389825,46.21636950284,~Zug~,['train']
8501312,Clarens (lac),,Clarens,VD,CH,85,6.89600206045,46.43980073869,~Schiff~,['ship']
8506195,Siegershausen,,Siegershausen,TG,CH,85,9.16826001807,47.61091699724,~Zug~,['train']
8530846,Alp Dado (Bergstation),,Waltensburg/Vuorz,GR,CH,85,9.08021658093,46.7937597399,~Sesselbahn~,['chairlift']
8503354,"Kempraten, Belsito",,Jona,SG,CH,85,8.82294454318,47.2394682302,~Bus~,['bus']
8591740,"Jona, Spitzenwies",,Jona,SG,CH,85,8.81836009849,47.24464016541,~Bus~,['bus']
8591737,"Jona, Neuhof",,Jona,SG,CH,85,8.83792272669,47.23186552501,~Bus~,['bus']
8591858,"Jona, Hummelberg",,Jona,SG,CH,85,8.85721441488,47.23220527788,~Bus~,['bus']
8501543,"Montana, Ycoor",,Crans-Montana,VS,CH,85,7.48015890735,46.3122968266,~Bus~,['bus']
8583271,"Sion, Garenne",,Sion,VS,CH,85,7.32167130709,46.22000159112,~Bus~,['bus']
8583270,"Sion, Gare Bus Sédunois",,Sion,VS,CH,85,7.35838707609,46.22797706566,~Bus~,['bus']
8579976,"Andiast, S. Clau",,Andiast,GR,CH,85,9.10870724396,46.78182096404,~Bus~,['bus']
8583259,"Sion, Aéroport",,Sion,VS,CH,85,7.33761796107,46.2235703748,~Bus~,['bus']
8583257,"Charmoille, Près de l'Epine",,Charmoille,JU,CH,85,7.19975639395,47.42050113425,~Bus~,['bus']
8510746,"Rivera, Protezione Civile",,Rivera,TI,CH,85,8.91327365017,46.1354738822,~Bus~,['bus']
8594480,"Zofingen, Thutplatz",,Zofingen,AG,CH,85,7.94627583262,47.28871491057,~Bus~,['bus']
8573582,"Wädenswil, Chotten",,Wädenswil,ZH,CH,85,8.63198201254,47.2210315655,~Bus~,['bus']
8573580,"Schönenberg ZH, Wolfbühl",,Schönenberg ZH,ZH,CH,85,8.65221903803,47.18418035148,~Bus~,['bus']
8506009,Saland,,Saland,ZH,CH,85,8.85422136063,47.39421140869,~Zug~,['train']
8503972,"Hirzel, Wolfisbühl",,Hirzel,ZH,CH,85,8.60443578076,47.22514583795,~Bus~,['bus']
8509237,"Susten, St. Josef",,Susten,VS,CH,85,7.65080517639,46.30614279738,~Bus~,['bus']
8571129,"Steg VS, Feldegg",,Steg VS,VS,CH,85,7.7508122026,46.31416989705,~Bus~,['bus']
8571128,"Gampel-Steg, Bahnhof",,Steg VS,VS,CH,85,7.74739319573,46.3064699436,~Bus~,['bus']
8574028,"Wildhaus, Schönau",,Wildhaus,SG,CH,85,9.32640710737,47.20035806181,~Bus~,['bus']
8574024,Starkenbach,,Alt St. Johann,SG,CH,85,9.25644371239,47.18412000236,~Bus~,['bus']
8570441,"Ecoteaux, Platta-Pierraz",,Ecoteaux,VD,CH,85,6.85127717195,46.54536885666,~Bus~,['bus']
8570439,"Oron-la-Ville, Pré à l'Abbé",,Oron-la-Ville,VD,CH,85,6.83131993521,46.5670517313,~Bus~,['bus']
8506574,"Schönholzerswilen,Ritzisbuhwil",,Schönholzerswilen,TG,CH,85,9.14953757841,47.52481675825,~Bus~,['bus']
8506567,"Wagerswil, Dorf",,Wagerswil,TG,CH,85,9.06409196208,47.60787159227,~Bus~,['bus']
8571759,"Grosshöchstetten, Neuhaus",,Grosshöchstetten,BE,CH,85,7.63503691921,46.90947491464,~Bus~,['bus']
8574766,"Fanas, Kapitelhof",,Fanas,GR,CH,85,9.66510461211,46.98201830211,~Bus~,['bus']
8574748,"Calfreisen, Dorf",,Calfreisen,GR,CH,85,9.59507584968,46.84134105438,~Bus~,['bus']
8506181,Bronschhofen,,Bronschhofen,SG,CH,85,9.03467787496,47.47544437919,~Zug~,['train']
8578554,"Wattwil, Spital",,Wattwil,SG,CH,85,9.08578663798,47.29898491591,~Bus~,['bus']
8505973,"Faido, Posta",,Faido,TI,CH,85,8.801742133,46.47772698143,~Bus~,['bus']
8576079,"Rapperswil SG, Sonnenhof",,Rapperswil SG,SG,CH,85,8.82111176664,47.228874951,~Bus~,['bus']
8587943,"Rapperswil SG, Kreuzliplatz",,Rapperswil SG,SG,CH,85,8.82463563546,47.22878761695,~Bus~,['bus']
8595522,"Diesbach GL, Hauptstrasse",,Diesbach GL,GL,CH,85,9.0308455784,46.95039711093,~Bus~,['bus']
8578644,"Aarau, Rathaus",,Aarau,AG,CH,85,8.04301830702,47.39402554932,~Bus~,['bus']
8504139,Belfaux CFF,,Belfaux,FR,CH,85,7.10623013611,46.81692461026,~Zug~,['train']
8504910,"Botterens, village",,Botterens,FR,CH,85,7.11229494757,46.61855652264,~Bus~,['bus']
8504721,Frasses,,Frasses,FR,CH,85,6.86345629033,46.82677263302,~Bus~,['bus']
8577793,"Corjolens, Prez-bif.",,Corjolens,FR,CH,85,7.0544739933,46.78318365199,~Bus~,['bus']
8570533,"Sugiez, Nant",,Sugiez,FR,CH,85,7.10647516827,46.95684091124,~Bus~,['bus']
8570542,"Liebistorf, untere Mühle",,Liebistorf,FR,CH,85,7.1924351779,46.90535403082,~Bus~,['bus']
8572863,"Marbach LU, Schufelbühl",,Marbach LU,LU,CH,85,7.91007567224,46.86993111856,~Bus~,['bus']
8570355,"Thierrens, La Croix",,Thierrens,VD,CH,85,6.75904002996,46.70131018359,~Bus~,['bus']
8570352,"Thierrens, La Rapaz",,Thierrens,VD,CH,85,6.74789573604,46.69956086673,~Bus~,['bus']
8573364,"Frauenfeld, Rosenbergstrasse",,Frauenfeld,TG,CH,85,8.90438499857,47.55068535921,~Bus~,['bus']
8573363,"Aadorf, Bahnhof",,Aadorf,TG,CH,85,8.90273570457,47.48844912429,~Bus~,['bus']
8570452,"St-Martin FR, village",,St-Martin FR,FR,CH,85,6.86844465009,46.57657297672,~Bus~,['bus']
8570447,"Semsales, ancienne église",,Semsales,FR,CH,85,6.92830459081,46.57440207619,~Bus~,['bus']
8572766,"Ebersecken, Badachtal",,Ebersecken,LU,CH,85,7.94884419556,47.1783283221,~Bus~,['bus']
8501123,Villette VD,,Villette (Lavaux),VD,CH,85,6.70737729881,46.49542481882,~Zug~,['train']
8591790,"Willisau, Friedhof",,Willisau,LU,CH,85,7.98825041347,47.12057887239,~Bus~,['bus']
8500983,"Kaisten, Gemeindehaus",,Kaisten,AG,CH,85,8.04527375866,47.53987366611,~Bus~,['bus']
8587336,"Hauptwil, Dorfplatz",,Hauptwil,TG,CH,85,9.25100731507,47.47927227477,~Bus~,['bus']
8577608,"Font, village",,Font,FR,CH,85,6.82003141488,46.83624263755,~Bus~,['bus']
8577621,"Montet (Broye), Petit Montet",,Montet (Broye),FR,CH,85,6.86904357283,46.81402694498,~Bus~,['bus']
8506913,"Aumont, école",,Aumont,FR,CH,85,6.84966481224,46.7972325941,~Bus~,['bus']
8505373,Bellavista,,Somazzo,TI,CH,85,9.00113994665,45.91111407041,~Zahnradbahn~,['rack_railroad']
8510480,"Montana, Marigny",,Crans-Montana,VS,CH,85,7.490613,46.311848,~Bus~,['bus']
8508060,Grafenried,,Grafenried,BE,CH,85,7.51160999717,47.08012000054,~Zug~,['train']
8501268,"Colombier VD, poste",,Colombier VD,VD,CH,85,6.47396662413,46.55613029328,~Bus~,['bus']
8592548,"Schaffhausen, Belairpark",,Schaffhausen,SH,CH,85,8.62207153115,47.70254630409,~Bus~,['bus']
8571599,"Innertkirchen, Mühletal",,Innertkirchen,BE,CH,85,8.26579890951,46.71436281733,~Bus~,['bus']
8574656,"Lü, Lüsai",,Lü,GR,CH,85,10.38026293459,46.61229071715,~Bus~,['bus']
8571598,"Innertkirchen, Hinterflieli",,Innertkirchen,BE,CH,85,8.25595655672,46.71132113176,~Bus~,['bus']
8574652,"Bergün/Bravuogn, staziun",,Bergün/Bravuogn,GR,CH,85,9.74702536397,46.63107281765,~Bus~,['bus']
8574650,"Müstair, Somvih",,Müstair,GR,CH,85,10.44561539084,46.62045768661,~Bus~,['bus']
8501595,Bluche-Randogne,,Randogne,VS,CH,85,7.49916276586,46.31110998661,~Standseilbahn~,['funicular']
8575739,"Anzonico, Paese",,Anzonico,TI,CH,85,8.86237041402,46.43129568106,~Bus~,['bus']
8575737,"Calonico, Probello",,Calonico,TI,CH,85,8.84525238562,46.44608446968,~Bus~,['bus']
